gene	type	level of evidence	chemicals	phenotypes	variant
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	CYP2D6*1
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*2
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*2xN
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*4
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*5
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*6
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*9
CYP2D6	Metabolism/PK	1A	desipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*10
CYP2D6	Toxicity	1A	desipramine	Depressive Disorder,Depressive Disorder, Major	CYP2D6*1
CYP2D6	Toxicity	1A	desipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2D6*3
CYP2D6	Toxicity	1A	desipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2D6*4
CYP2D6	Toxicity	1A	desipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2D6*5
CYP2D6	Toxicity	1A	desipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2D6*6
CYP2D6	Toxicity	1A	clomipramine	Depressive Disorder, Major	CYP2D6*1
CYP2D6	Toxicity	1A	clomipramine	Depressive Disorder, Major	 CYP2D6*3
CYP2D6	Toxicity	1A	clomipramine	Depressive Disorder, Major	 CYP2D6*4
CYP2D6	Toxicity	1A	clomipramine	Depressive Disorder, Major	 CYP2D6*5
CYP2D6	Toxicity	1A	clomipramine	Depressive Disorder, Major	 CYP2D6*6
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	CYP2D6*1
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*1xN
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*2
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*3
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*4
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*5
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*6
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*10
CYP2D6	Metabolism/PK	1A	clomipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*41
CYP2D6	Metabolism/PK	1A	imipramine	Depressive Disorder, Major,Mental Disorders	CYP2D6*1
CYP2D6	Metabolism/PK	1A	imipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*3
CYP2D6	Metabolism/PK	1A	imipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*4
CYP2D6	Metabolism/PK	1A	imipramine	Depressive Disorder, Major,Mental Disorders	 CYP2D6*5
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	CYP2D6*1
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*1xN
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*2
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*2xN
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*3
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*4
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*5
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*6
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*10
CYP2D6	Metabolism/PK	1A	nortriptyline	Depressive Disorder, Major	 CYP2D6*17
CYP2C19	Metabolism/PK	1A	escitalopram	Depressive Disorder, Major,Mental Disorders	CYP2C19*1
CYP2C19	Metabolism/PK	1A	escitalopram	Depressive Disorder, Major,Mental Disorders	 CYP2C19*2
CYP2C19	Metabolism/PK	1A	escitalopram	Depressive Disorder, Major,Mental Disorders	 CYP2C19*3
CYP2C19	Metabolism/PK	1A	escitalopram	Depressive Disorder, Major,Mental Disorders	 CYP2C19*17
CYP2C19	Metabolism/PK	1A	imipramine	Depressive Disorder,Depressive Disorder, Major	CYP2C19*1
CYP2C19	Metabolism/PK	1A	imipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2C19*2
CYP2C19	Metabolism/PK	1A	imipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2C19*3
CYP2C19	Metabolism/PK	1A	imipramine	Depressive Disorder,Depressive Disorder, Major	 CYP2C19*17
CYP2C19	Metabolism/PK	1A	citalopram	Depressive Disorder,Depressive Disorder, Major	CYP2C19*1
CYP2C19	Metabolism/PK	1A	citalopram	Depressive Disorder,Depressive Disorder, Major	 CYP2C19*2
CYP2C19	Metabolism/PK	1A	citalopram	Depressive Disorder,Depressive Disorder, Major	 CYP2C19*3
CYP2C19	Metabolism/PK	1A	citalopram	Depressive Disorder,Depressive Disorder, Major	 CYP2C19*17
CYP2D6	Toxicity	1A	venlafaxine	agitation,Alcohol-Related Disorders,cardiotoxicity,Depression,Depressive Disorder,Depressive Disorder, Major,Drug Toxicity,dysphoria,Edema,Nausea,Obsessive-Compulsive Disorder,Tachycardia,Vomiting	CYP2D6*1
CYP2D6	Toxicity	1A	venlafaxine	agitation,Alcohol-Related Disorders,cardiotoxicity,Depression,Depressive Disorder,Depressive Disorder, Major,Drug Toxicity,dysphoria,Edema,Nausea,Obsessive-Compulsive Disorder,Tachycardia,Vomiting	 CYP2D6*3
CYP2D6	Toxicity	1A	venlafaxine	agitation,Alcohol-Related Disorders,cardiotoxicity,Depression,Depressive Disorder,Depressive Disorder, Major,Drug Toxicity,dysphoria,Edema,Nausea,Obsessive-Compulsive Disorder,Tachycardia,Vomiting	 CYP2D6*4
CYP2D6	Toxicity	1A	venlafaxine	agitation,Alcohol-Related Disorders,cardiotoxicity,Depression,Depressive Disorder,Depressive Disorder, Major,Drug Toxicity,dysphoria,Edema,Nausea,Obsessive-Compulsive Disorder,Tachycardia,Vomiting	 CYP2D6*5
CYP2D6	Toxicity	1A	venlafaxine	agitation,Alcohol-Related Disorders,cardiotoxicity,Depression,Depressive Disorder,Depressive Disorder, Major,Drug Toxicity,dysphoria,Edema,Nausea,Obsessive-Compulsive Disorder,Tachycardia,Vomiting	 CYP2D6*6
CYP2D6	Toxicity	1A	venlafaxine	agitation,Alcohol-Related Disorders,cardiotoxicity,Depression,Depressive Disorder,Depressive Disorder, Major,Drug Toxicity,dysphoria,Edema,Nausea,Obsessive-Compulsive Disorder,Tachycardia,Vomiting	 CYP2D6*81
CYP2C19	Metabolism/PK	1A	amitriptyline	Depressive Disorder, Major,Mental Disorders	CYP2C19*1
CYP2C19	Metabolism/PK	1A	amitriptyline	Depressive Disorder, Major,Mental Disorders	 CYP2C19*2
CYP2C19	Metabolism/PK	1A	amitriptyline	Depressive Disorder, Major,Mental Disorders	 CYP2C19*3
CYP2C19	Metabolism/PK	1A	amitriptyline	Depressive Disorder, Major,Mental Disorders	 CYP2C19*17
TPH2	Efficacy	3	antidepressants,mirtazapine,venlafaxine	Depressive Disorder, Major	rs10879346
HTR1A	Efficacy	3	fluvoxamine,milnacipran,paroxetine	Depressive Disorder, Major	rs10042486
SERPINE1	Efficacy	3	antidepressants,citalopram,fluoxetine	Depressive Disorder, Major	rs2227631
BDNF	Efficacy	3	antidepressants,desipramine,fluoxetine	Depression,Depressive Disorder, Major	rs61888800
ADM	Efficacy	3	paroxetine	Depressive Disorder, Major	rs11042725
SERPINE1	Efficacy	3	antidepressants,citalopram,fluoxetine	Depressive Disorder, Major	rs1799889
GABRQ	Efficacy	3	venlafaxine	Depressive Disorder, Major	rs3810651
GSK3B	Efficacy	3	citalopram,fluoxetine	Depressive Disorder, Major	rs334558
GABRA6	Efficacy	3	antidepressants,Selective serotonin reuptake inhibitors,venlafaxine	Depressive Disorder, Major	rs1992647
GABRP	Efficacy	3	antidepressants,Selective serotonin reuptake inhibitors,venlafaxine	Depressive Disorder, Major	rs10036156
GRIA3	Efficacy	3	antidepressants,Selective serotonin reuptake inhibitors,venlafaxine	Depressive Disorder, Major	rs3761555
GRIA3	Efficacy	3	antidepressants,Selective serotonin reuptake inhibitors,venlafaxine	Depressive Disorder, Major	rs3761554
GRIA3	Efficacy	3	antidepressants,Selective serotonin reuptake inhibitors,venlafaxine	Depressive Disorder, Major	rs502434
GAL	Efficacy	3	antidepressants,benzodiazepine derivatives,mirtazapine,Selective serotonin reuptake inhibitors	Depressive Disorder, Major	rs948854
BDNF	Toxicity	3	escitalopram,nortriptyline	Depressive Disorder, Major	rs962369
	Efficacy	3	citalopram,escitalopram	Depressive Disorder, Major	rs352428
ABCB1	Toxicity	3	nortriptyline	Depression,Depressive Disorder,Depressive Disorder, Major,Hypotension	rs1045642
CYP1A2	Dosage,Toxicity	3	paroxetine	Depressive Disorder, Major	rs762551
BDNF	Efficacy	3	paroxetine	Depressive Disorder, Major	rs6265
FKBP5	Efficacy	3	citalopram,escitalopram	Depressive Disorder, Major	rs9380524
MC1R	Efficacy	3	desipramine	Depressive Disorder, Major	rs2228479
MC1R	Efficacy	3	desipramine	Depressive Disorder, Major	rs2228478
HTR1A	Efficacy	3	fluvoxamine,milnacipran,paroxetine	Depressive Disorder, Major	rs1364043
